Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-12-02T18:29:47.494214Z,PFE,BUY - MARKET,110.4567992,$40.74 ,"$4,501.20 ",USD,1.2097
2020-12-04T14:34:39.371857Z,MRNA,SELL - MARKET,72.16569242,$153.10 ,"$11,047.11 ",USD,1.2169
2020-12-04T14:35:12.828527Z,TSLA,SELL - MARKET,17.98108389,$588 ,"$10,571.43 ",USD,1.2169
2020-12-04T19:08:51.340654Z,AAL,BUY - MARKET,306.1867728,$16.33 ,"$5,001.21 ",USD,1.2148
2020-12-04T19:12:00.522678Z,SM,BUY - MARKET,409.006135,$4.89 ,"$2,001.21 ",USD,1.2147
2020-12-10T19:20:21.890656Z,SM,SELL - MARKET,409.006135,$6.41 ,"$2,620.45 ",USD,1.2126
2020-12-10T19:21:19.530836Z,PFE,SELL - MARKET,110.4567992,$41.82 ,"$4,617.99 ",USD,1.2125
2020-12-10T19:21:53.716214Z,AAL,SELL - MARKET,306.1867728,$17.58 ,"$5,381.42 ",USD,1.2124
2020-12-15T17:53:33.068961Z,AAPL,SELL - MARKET,42.82527424,$126.64 ,"$5,422.05 ",USD,1.216
2020-12-31T23:45:34.549532Z,,CUSTODY FEE,,,($0.09),USD,1.2219
2021-01-04T14:36:11.863209Z,TSLA,BUY - MARKET,13.88888888,$720 ,"$10,000 ",USD,1.23
2021-01-04T14:40:41.179115Z,XPEV,BUY - MARKET,220.2621145,$45.40 ,"$10,000 ",USD,1.2299
2021-01-04T14:41:02.690298Z,NIO,BUY - MARKET,194.9697797,$51.29 ,"$10,000 ",USD,1.2298
2021-01-04T14:57:00.004278Z,PLUG,BUY - MARKET,60.7173649,$32.94 ,"$2,000 ",USD,1.2287
2021-01-04T21:01:04.004210Z,,CASH TOP-UP,,,"$7,000 ",USD,1.2251
2021-01-05T14:31:12.994696Z,LI,BUY - MARKET,215.3183636,$32.51 ,"$7,000 ",USD,1.2277
2021-01-05T21:18:06.948667Z,,CASH TOP-UP,,,"$11,000 ",USD,1.2294
2021-01-06T14:32:52.292493Z,NIO,BUY - MARKET,185.1851852,$54 ,"$10,000 ",USD,1.2305
2021-01-06T14:40:04.137824Z,,CASH TOP-UP,,,"$10,000 ",USD,1.2311
2021-01-06T14:40:19.854285Z,NIO,BUY - MARKET,182.5154225,$54.79 ,"$10,000 ",USD,1.2312
2021-01-06T14:41:14.213416Z,XPEV,BUY - MARKET,41.09257916,$41.37 ,"$1,700 ",USD,1.2312
2021-01-07T19:49:26.574931Z,,CASH TOP-UP,,,"$5,780 ",USD,1.2271
2021-01-07T19:50:10.661513Z,NIO,BUY - MARKET,106.665502,$54.38 ,"$5,801.22 ",USD,1.2271
2021-01-08T14:34:23.828995Z,PLUG,SELL - MARKET,60.7173649,$52.07 ,"$3,160.25 ",USD,1.2283
2021-01-08T15:13:45.646974Z,LI,BUY - MARKET,87.59564848,$35.39 ,"$3,101.22 ",USD,1.2247
2021-01-08T20:50:51.630621Z,TSLA,SELL - MARKET,13.88888888,$876.01 ,"$12,165.31 ",USD,1.2229
2021-01-08T20:51:42.498264Z,XPEV,BUY - MARKET,220.0600792,$45.44 ,"$10,001.22 ",USD,1.2227
2021-01-08T20:52:17.084829Z,LI,BUY - MARKET,64.1215389,$34.31 ,"$2,201.22 ",USD,1.2227
2021-01-11T19:40:19.779495Z,NIO,SELL - MARKET,669.3358894,$64.30 ,"$43,036.13 ",USD,1.2171
2021-01-11T19:46:33.268200Z,LI,BUY - MARKET,302.5727685,$33.05 ,"$10,001.21 ",USD,1.2169
2021-01-11T19:52:40.783484Z,XPEV,BUY - MARKET,225.3267237,$44.38 ,"$10,001.21 ",USD,1.2168
2021-01-11T20:55:15.105991Z,NKLA,BUY - MARKET,467.2926402,$17.12 ,"$8,001.21 ",USD,1.2159
2021-01-11T20:57:37.476958Z,PLUG,BUY - MARKET,185.3256116,$53.96 ,"$10,001.21 ",USD,1.2159
2021-01-11T20:59:33.998598Z,LI,BUY - MARKET,152.4390244,$32.80 ,"$5,001.21 ",USD,1.2159
2021-01-12T15:29:47.897107Z,XPEV,SELL - MARKET,706.7414967,$50.64 ,"$35,790.31 ",USD,1.2161
2021-01-12T15:30:05.703840Z,PLUG,SELL - MARKET,185.3256116,$61.61 ,"$11,416.45 ",USD,1.2161
2021-01-12T15:30:27.880998Z,NKLA,SELL - MARKET,467.2926402,$18.29 ,"$8,545.32 ",USD,1.2165
2021-01-12T15:47:15.555730Z,LI,SELL - MARKET,822.0473439,$34.53 ,"$28,383.43 ",USD,1.2163
2021-01-12T15:48:11.494497Z,WORK,BUY - MARKET,238.4363376,$41.94 ,"$10,001.21 ",USD,1.2162
2021-01-12T16:00:26.335884Z,SPWRQ,BUY - MARKET,335.5479866,$29.80 ,"$10,001.21 ",USD,1.216
2021-01-12T16:01:17.696278Z,UMC,BUY - MARKET,455.6412301,$8.78 ,"$4,001.21 ",USD,1.2161
2021-01-12T16:01:47.853781Z,RUN,BUY - MARKET,106.2430939,$94.12 ,"$10,001.21 ",USD,1.2161
2021-01-12T20:26:53.784892Z,NIO,BUY - MARKET,158.5543047,$63.07 ,"$10,000 ",USD,1.2204
2021-01-12T20:28:22.971666Z,NIO,BUY - MARKET,158.7593269,$62.99 ,"$10,000 ",USD,1.2207
