Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2023-08-06T08:43:01.976901Z,MSFT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,104.83164902,,$0,USD,1.1018
2023-08-06T08:43:01.979704Z,HOOD,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,84.5451471,,$0,USD,1.1018
2023-08-06T08:43:01.982403Z,AMZN,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,42.74221755,,$0,USD,1.1018
2023-08-06T08:43:01.985679Z,XPEV,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,291.33251714,,$0,USD,1.1018
2023-08-06T08:43:01.987745Z,META,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,85.12342523,,$0,USD,1.1018
2023-08-06T08:43:01.990533Z,GOOGL,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,301.53160419,,$0,USD,1.1018
2023-08-06T08:43:01.993378Z,T,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,498.7039917,,$0,USD,1.1018
2023-08-06T08:43:02.039954Z,,TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB,,,$103.85,USD,1.1018
2023-09-01T03:55:23.807028Z,,CUSTODY FEE,,,-$13.72,USD,1.0860
2023-09-15T10:36:34.267148Z,MSFT,DIVIDEND,,,$60.59,USD,1.0682
2023-10-01T06:47:31.962441Z,,CUSTODY FEE,,,-$13.31,USD,1.0595
2023-10-05T10:16:02.248376Z,,CASH TOP-UP,,,"€1,000",EUR,1.0000
2023-10-05T10:17:22.598936Z,,CASH WITHDRAWAL,,,"-€1,000",EUR,1.0000
2023-10-05T10:17:36.782089Z,,CASH TOP-UP,,,"$1,000",USD,1.0524
2023-10-05T13:30:17.673Z,VZ,BUY - MARKET,35.14882837,$31.58,"$1,110",USD,1.0545
2023-10-10T16:03:39.921Z,META,SELL - MARKET,85.12342523,$323.30,"$27,520.25",USD,1.0637
2023-10-10T16:04:44.219Z,NVDA,BUY - MARKET,21.67323363,$461.40,"$10,000",USD,1.0636
2023-10-10T16:04:56.228Z,NVDA,BUY - MARKET,21.66919476,$461.48,"$10,000",USD,1.0635
2023-10-10T16:07:28.830Z,TSLA,BUY - MARKET,28.25261108,$267.13,"$7,547",USD,1.0636
2023-10-13T18:55:22.829Z,MSFT,SELL - MARKET,30.41903197,$328.71,"$9,999",USD,1.0527
2023-10-13T18:55:43.100Z,NVO,BUY - MARKET,97.84178082,$102.20,"$9,999",USD,1.0527
2023-11-02T06:25:13.796851Z,,CUSTODY FEE,,,-$12.82,USD,1.0615
2023-11-02T13:47:06.777694Z,T,DIVIDEND,,,$117.63,USD,1.0663
2023-11-02T15:07:34.595362Z,VZ,DIVIDEND,,,$19.86,USD,1.0657
2023-12-01T08:52:22.006879Z,,CUSTODY FEE,,,-$14.10,USD,1.0915
2023-12-12T13:26:22.880727Z,,CASH TOP-UP,,,"€20,000",EUR,1.0000
2023-12-12T13:27:34.187724Z,,CASH WITHDRAWAL,,,"-€20,000",EUR,1.0000
2023-12-12T13:27:47.990444Z,,CASH TOP-UP,,,"$20,000",USD,1.0830
2023-12-12T13:48:29.655412Z,,CASH TOP-UP,,,"$2,500",USD,1.0805
2023-12-12T14:30:01.095Z,PXD,BUY - MARKET,0.8972127,$221.72,$200,USD,1.0804
2023-12-12T14:30:01.110Z,LMT,BUY - MARKET,0.88321377,$451.68,$400,USD,1.0804
2023-12-12T14:30:01.586Z,MCHP,BUY - MARKET,4.52232899,$88.45,$400,USD,1.0804
2023-12-12T14:30:04.355Z,SNY,BUY - MARKET,12.5814589,$47.57,$600,USD,1.0804
2023-12-12T14:30:04.815Z,YY,BUY - MARKET,10.82837033,$36.94,$400,USD,1.0804
2023-12-12T14:30:04.881Z,EC,BUY - MARKET,31.71144674,$12.58,$400,USD,1.0804
2023-12-12T14:30:05.709Z,PM,BUY - MARKET,5.37388212,$92.81,$500,USD,1.0804
2023-12-12T14:30:05.736Z,ALV,BUY - MARKET,3.68212703,$101.55,$374.99,USD,1.0804
2023-12-12T14:30:05.748Z,GRMN,BUY - MARKET,3.19642,$125.14,$400,USD,1.0804
2023-12-12T14:30:05.958Z,GES,BUY - MARKET,16.71524362,$22.37,$374.99,USD,1.0804
2023-12-12T14:30:05.993Z,BG,BUY - MARKET,4.72345866,$105.59,$500,USD,1.0804
2023-12-12T14:30:06.162Z,SBRA,BUY - MARKET,70.6437677,$14.12,"$1,000",USD,1.0804
2023-12-12T14:30:06.755Z,IGT,BUY - MARKET,13.72687224,$27.24,$374.99,USD,1.0804
2023-12-12T14:30:07.322Z,ORAN,BUY - MARKET,55.445,$12,$667,USD,1.0803
2023-12-12T14:30:07.619Z,WMT,BUY - MARKET,3.29817484,$151.22,$500,USD,1.0803
2023-12-12T14:30:07.672Z,UMC,BUY - MARKET,50.36994949,$7.92,$400,USD,1.0803
2023-12-12T14:30:08.066Z,SCCO,BUY - MARKET,5.32901415,$74.86,$400,USD,1.0803
2023-12-12T14:30:08.530Z,CNQ,BUY - MARKET,3.23200649,$61.55,$200,USD,1.0803
2023-12-12T14:30:09.846Z,BP,BUY - MARKET,5.71473714,$34.81,$200,USD,1.0804
2023-12-12T14:30:10.221Z,CMCSA,BUY - MARKET,15.45864312,$43.04,$667,USD,1.0804
2023-12-12T14:30:10.349Z,PKG,BUY - MARKET,2.26893203,$164.80,$374.99,USD,1.0804
2023-12-12T14:30:10.352Z,CSCO,BUY - MARKET,8.07265388,$49.55,$400,USD,1.0804
2023-12-12T14:30:10.523Z,STX,BUY - MARKET,9.75015234,$82.05,$800,USD,1.0804
2023-12-12T14:30:10.688Z,TSM,BUY - MARKET,3.99400898,$100.15,$400,USD,1.0804
2023-12-12T14:30:11.229Z,E,BUY - MARKET,6.21073993,$32.03,$200,USD,1.0804
2023-12-12T14:30:11.561Z,IDCC,BUY - MARKET,6.22686008,$106.85,$667,USD,1.0804
2023-12-12T14:30:11.909Z,NOG,BUY - MARKET,5.58949143,$35.59,$200,USD,1.0804
2023-12-12T14:30:11.974Z,GSK,BUY - MARKET,16.39726027,$36.50,$600,USD,1.0804
2023-12-12T14:30:12.152Z,AMGN,BUY - MARKET,2.15963627,$277.13,$600,USD,1.0804
2023-12-12T14:30:12.423Z,NVS,BUY - MARKET,6.12714987,$97.68,$600,USD,1.0804
2023-12-12T14:30:12.454Z,FANG,BUY - MARKET,1.34167397,$148.27,$200,USD,1.0804
2023-12-12T14:30:13.197Z,HPQ,BUY - MARKET,26.49884067,$30.19,$800,USD,1.0804
2023-12-12T14:30:13.258Z,TM,BUY - MARKET,2.02381467,$184.76,$374.99,USD,1.0804
2023-12-12T14:30:13.716Z,AAPL,BUY - MARKET,2.06699481,$193,$400,USD,1.0804
2023-12-12T14:30:16.493Z,INTC,BUY - MARKET,9.01555104,$44.37,$400,USD,1.0804
2023-12-12T14:30:17.138Z,UNH,BUY - MARKET,1.095592,$546.28,$600,USD,1.0803
2023-12-12T14:30:17.544Z,ABR,BUY - MARKET,71.04700854,$14.04,"$1,000",USD,1.0803
2023-12-12T14:30:17.604Z,IBM,BUY - MARKET,2.443376,$163.27,$400,USD,1.0803
2023-12-12T14:30:17.626Z,PBR,BUY - MARKET,13.56957708,$14.66,$200,USD,1.0803
2023-12-12T14:30:17.832Z,ENLC,BUY - MARKET,16.05488297,$12.39,$200,USD,1.0803
2023-12-12T14:30:17.871Z,SFL,BUY - MARKET,36.13677536,$11.04,$400,USD,1.0803
2023-12-12T14:30:18.003Z,NKE,BUY - MARKET,3.12433155,$119.68,$374.99,USD,1.0804
2023-12-12T14:30:18.092Z,AGRO,BUY - MARKET,45.74954128,$10.90,$500,USD,1.0804
2023-12-12T14:30:18.333Z,IRM,BUY - MARKET,6.04652925,$65.98,$400,USD,1.0804
2023-12-12T14:30:18.364Z,TX,BUY - MARKET,10.23159784,$38.99,$400,USD,1.0804
2023-12-12T14:30:18.683Z,BBY,BUY - MARKET,5.08416043,$73.50,$374.99,USD,1.0804
2023-12-12T14:30:49.374Z,WRK,BUY - MARKET,9.10889159,$41.05,$374.99,USD,1.0802
